index,Provider Type,Cluster,NPI,Total Charges,Total Spend,RUCA,HCPCS Cd 1,HCPCS Desc 1,HCPCS Cd 2,HCPCS Desc 2,HCPCS Cd 3,HCPCS Desc 3,HCPCS Cd 4,HCPCS Desc 4,HCPCS Cd 5,HCPCS Desc 5,BETOS Cd 1,BETOS Spend 1,BETOS Spend 1 Pc,BETOS Cd 2,BETOS Spend 2,BETOS Spend 2 Pc,BETOS Cd 3,BETOS Spend 3,BETOS Spend 3 Pc,BETOS Cd 4,BETOS Spend 4,BETOS Spend 4 Pc,BETOS Cd 5,BETOS Spend 5,BETOS Spend 5 Pc
0,08,0,1417069576,19843.64,2157.64,1.0,A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",A7038,"Filter, disposable, used with positive airway pressure device",E0562,"Humidifier, heated, used with positive airway pressure device",E1390,"Oxygen concentrator, single delivery port, capable of delivering 85 percent or greater oxygen concentration at the prescribed flow rate",J7613,"Albuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose, 1 mg",D1C,1217,56.4,D1D,621,28.78,D1E,265,12.28,D1G,54,2.5,0,0,0.0
1,08,-1,1255398293,1548646.4,277380.84,1.0,A4216,"Sterile water, saline and/or dextrose, diluent/flush, 10 ml",A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",A4256,"Normal, low and high calibrator solution / chips",A4258,"Spring-powered device for lancet, each",A4259,"Lancets, per box of 100",D1A,148696,53.61,D1B,60419,21.78,D1C,16610,5.99,D1D,15245,5.5,D1E,14671,5.29
2,08,1,1003856188,97375.96,37607.26,1.0,A4224,"Supplies for maintenance of insulin infusion catheter, per week",A4225,"Supplies for external insulin infusion pump, syringe type cartridge, sterile, each",A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",A7034,"Nasal interface (mask or cannula type) used with positive airway pressure device, with or without head strap",A7037,Tubing used with positive airway pressure device,D1E,37607,100.0,D1B,60419,21.78,D1C,16610,5.99,D1D,15245,5.5,D1E,14671,5.29
3,08,2,1386902286,4442032.41,2969557.77,1.0,A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",L0650,"Lumbar-sacral orthosis, sagittal-coronal control, with rigid anterior and posterior frame/panel(s), posterior extends from sacrococcygeal junction to t-9 vertebra, lateral strength provided by rigid lateral frame/panel(s), produces intracavitary pressure t",L0651,"Lumbar-sacral orthosis, sagittal-coronal control, rigid shell(s)/panel(s), posterior extends from sacrococcygeal junction to t-9 vertebra, anterior extends from symphysis pubis to xyphoid, produces intracavitary pressure to reduce load on the intervertebra",L1833,"Knee orthosis, adjustable knee joints (unicentric or polycentric), positional orthosis, rigid support, prefabricated, off-the shelf",L1851,"Knee orthosis (ko), single upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, prefabricated, off-the-shelf",D1E,2969349,99.99,D1F,209,0.01,D1C,16610,5.99,D1D,15245,5.5,D1E,14671,5.29
4,08,3,1386756799,259936.48,57340.44,1.0,A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",A4256,"Normal, low and high calibrator solution / chips",A4259,"Lancets, per box of 100",A6021,"Collagen dressing, sterile, size 16 sq. in. or less, each",A6216,"Gauze, non-impregnated, non-sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",D1A,31385,54.73,D1C,21568,37.61,D1E,3349,5.84,O1C,1037,1.81,D1E,14671,5.29
5,08,4,1023371424,145122.89,46675.33,1.0,A4310,Insertion tray without drainage bag and without catheter (accessories only),A4314,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)",A4338,"Indwelling catheter; foley type, two-way latex with coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each",A4357,"Bedside drainage bag, day or night, with or without anti-reflux device, with or without tube, each",A4409,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, 4 x 4 inches or smaller, each",D1A,15344,32.87,D1B,7862,16.84,D1C,7134,15.28,D1D,6066,13.0,D1E,5870,12.58
6,08,5,1053486076,2160935.14,1331828.86,4.1,L0650,"Lumbar-sacral orthosis, sagittal-coronal control, with rigid anterior and posterior frame/panel(s), posterior extends from sacrococcygeal junction to t-9 vertebra, lateral strength provided by rigid lateral frame/panel(s), produces intracavitary pressure t",L1686,"Hip orthosis, abduction control of hip joint, postoperative hip abduction type, prefabricated, includes fitting and adjustment",L1820,"Knee orthosis, elastic with condylar pads and joints, with or without patellar control, prefabricated, includes fitting and adjustment",L1833,"Knee orthosis, adjustable knee joints (unicentric or polycentric), positional orthosis, rigid support, prefabricated, off-the shelf",L1851,"Knee orthosis (ko), single upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, prefabricated, off-the-shelf",D1F,1331829,100.0,D1B,7862,16.84,D1C,7134,15.28,D1D,6066,13.0,D1E,5870,12.58
7,08,6,1063459220,438321.87,74847.02,1.0,A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",A4256,"Normal, low and high calibrator solution / chips",A4258,"Spring-powered device for lancet, each",A4259,"Lancets, per box of 100",A4604,Tubing with integrated heating element for use with positive airway pressure device,D1B,46627,62.3,D1C,13336,17.82,D1D,9435,12.61,D1E,3324,4.44,D1F,1319,1.76
8,08,7,1063680635,33916.83,10240.13,1.0,A4216,"Sterile water, saline and/or dextrose, diluent/flush, 10 ml",A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",A4259,"Lancets, per box of 100",A4623,"Tracheostomy, inner cannula",A4624,"Tracheal suction catheter, any type other than closed system, each",D1C,5140,50.19,D1E,4341,42.39,D1F,759,7.41,D1E,3324,4.44,D1F,1319,1.76
9,08,8,1073552840,61572.21,11711.82,1.0,E0143,"Walker, folding, wheeled, adjustable or fixed height",E0163,"Commode chair, mobile or stationary, with fixed arms",E0165,"Commode chair, mobile or stationary, with detachable arms",E0260,"Hospital bed, semi-electric (head and foot adjustment), with any type side rails, with mattress",E0431,"Portable gaseous oxygen system, rental; includes portable container, regulator, flowmeter, humidifier, cannula or mask, and tubing",D1B,7447,63.59,D1C,1501,12.82,D1D,1479,12.63,D1E,1284,10.96,D1F,1319,1.76
