"","UNITID","CONTROL","HIGHDEG"
"1",100636,1,2
"2",100654,1,4
"3",100663,1,4
"4",100690,2,4
"5",100706,1,4
"6",100724,1,4
"7",100751,1,4
"8",100760,1,2
"9",100812,1,3
"10",100830,1,4
"11",100858,1,4
"12",100937,2,4
"13",101028,1,2
"14",101073,2,3
"15",101116,3,4
"16",101143,1,2
"17",101161,1,2
"18",101189,2,4
"19",101240,1,2
"20",101286,1,2
"21",101295,1,2
"22",101301,1,2
"23",101365,3,3
"24",101435,2,3
"25",101453,2,4
"26",101462,1,2
"27",101471,1,2
"28",101480,1,4
"29",101499,1,2
"30",101505,1,2
"31",101514,1,2
"32",101541,2,3
"33",101569,1,2
"34",101587,1,4
"35",101602,1,2
"36",101648,1,2
"37",101675,2,3
"38",101693,2,4
"39",101709,1,4
"40",101736,1,2
"41",101879,1,4
"42",101897,1,2
"43",101912,2,4
"44",101949,1,2
"45",101958,3,2
"46",101994,1,2
"47",102030,1,2
"48",102049,2,4
"49",102058,2,4
"50",102067,1,2
"51",102076,1,2
"52",102094,1,4
"53",102234,2,4
"54",102261,2,3
"55",102270,2,3
"56",102298,2,3
"57",102313,1,2
"58",102368,1,4
"59",102377,2,4
"60",102395,2,4
"61",102429,1,2
"62",102553,1,4
"63",102580,2,3
"64",102614,1,4
"65",102632,1,4
"66",102669,2,4
"67",102711,1,1
"68",102845,3,3
"69",103361,1,2
"70",103501,3,1
"71",103644,3,3
"72",103723,3,3
"73",103732,3,1
"74",103741,3,1
"75",103778,2,4
"76",103787,2,3
"77",103811,3,1
"78",103893,3,2
"79",103909,3,2
"80",103927,3,2
"81",103945,3,2
"82",103954,3,1
"83",103963,3,1
"84",104090,3,3
"85",104151,1,4
"86",104160,1,2
"87",104179,1,4
"88",104188,3,3
"89",104294,3,1
"90",104346,1,2
"91",104364,3,3
"92",104391,3,1
"93",104425,1,2
"94",104434,3,1
"95",104443,3,1
"96",104504,3,1
"97",104531,3,4
"98",104568,3,1
"99",104577,1,2
"100",104586,2,4
"101",104665,2,4
"102",104708,1,2
"103",104717,3,4
"104",104805,3,3
"105",104911,3,1
"106",104984,3,2
"107",105118,3,2
"108",105127,3,1
"109",105145,1,2
"110",105154,1,2
"111",105163,3,3
"112",105172,3,3
"113",105206,1,2
"114",105215,3,1
"115",105297,1,2
"116",105330,1,4
"117",105349,1,2
"118",105367,2,4
"119",105428,1,2
"120",105482,3,1
"121",105516,3,4
"122",105525,1,2
"123",105534,3,2
"124",105543,3,2
"125",105589,2,4
"126",105659,3,2
"127",105668,1,2
"128",105677,3,1
"129",105701,3,1
"130",105747,1,2
"131",105792,1,2
"132",105899,2,3
"133",105987,3,1
"134",106041,3,2
"135",106102,3,4
"136",106111,3,1
"137",106148,1,2
